Title,DOI,URL,QuerySets,Sources,From_Scopus,From_IEEE_Xplore,From_ScienceDirect,source
A Novel CNN-LSTM Approach for Robust Deepfake Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007157377&partnerID=40&md5=ddd8b78901a5058a5af5fbf4a5b91511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007157377&partnerID=40&md5=ddd8b78901a5058a5af5fbf4a5b91511,C,,0,0,0,Scopus
A Novel Multi-Scale Spectral-Guided Graph Attention Network for DeepFake Video Detection,,,B,IEEE Xplore,0,1,0,
A Novel Multi-Scale Spectral-Guided Graph Attention Network for DeepFake Video Detection,10.1109/ISDFS65363.2025.11011972,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011972,C,,0,0,0,IEEE Xplore
A Novel Unified Approach to Deepfake Detection of Images,,,B,"IEEE Xplore, Scopus",1,1,0,
A Preliminary Case Study on Long-Form In-the-Wild Audio Spoofing Detection,,,B,IEEE Xplore,0,1,0,
A Residual Fingerprint-Based Defense Against Adversarial Deepfakes,,,A,IEEE Xplore,0,1,0,
"A Review of Deepfake Techniques: Architecture, Detection, and Datasets",10.1109/ACCESS.2024.3477257,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711187,C,,0,0,0,IEEE Xplore
"A Review on Deepfake Image Detection Approaches, Techniques and Methods",10.1109/I2CACIS65476.2025.11100461,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11100461,C,,0,0,0,IEEE Xplore
"A Review on Deepfake Image Detection Approaches, Techniques and Methods",,,B,IEEE Xplore,0,1,0,
A Robust Audio Deepfake Detection System via Multi-View Feature,,,B,IEEE Xplore,0,1,0,
A Robust Deepfake Video Detection Method based on Continuous Frame Face-swapping,10.1109/AIIPCC57291.2022.00048,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10070215,C,,0,0,0,IEEE Xplore
A Robust and Lightweight CNN-Transformer Model for Audio Deepfake Detection in Indian Languages,,,B,IEEE Xplore,0,1,0,
A Spatio- Temporl Deepfake Video Detection Method Based on TimeSformer-CNN,10.1109/ICDCECE60827.2024.10549278,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549278,C,,0,0,0,IEEE Xplore
A Spatio-Temporal Deep Learning Approach for Efficient Deepfake Video Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014768493&partnerID=40&md5=ae4cd97a0dd94dd0274a85dd07694c87,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014768493&partnerID=40&md5=ae4cd97a0dd94dd0274a85dd07694c87,C,,0,0,0,Scopus
A Study on Combating Emerging Threat of Deepfake Weaponization,,,A,IEEE Xplore,0,1,0,
A Survey on Deepfake Video Detection Techniques Using Deep Learning,10.1109/ICNGIS54955.2022.10079802,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10079802,C,,0,0,0,IEEE Xplore
"A comprehensive survey on digital video forensics: Taxonomy, challenges, and future directions",,,A,ScienceDirect,0,0,1,
A dual descriptor combined with frequency domain reconstruction learning for face forgery detection in deepfake videos,,,B,Scopus,1,0,0,
A facial geometry based detection model for face manipulation using CNN-LSTM architecture,,,B|C,Scopus,1,0,0,Scopus
A method for detecting deepfake faces by integrating multi-scale deep-shallow spatial and frequency features,,,B,Scopus,1,0,0,
A survey of machine learning techniques in adversarial image forensics,,,B,ScienceDirect,0,0,1,
A systematic literature review of deepfakes in forensic science,,,A,ScienceDirect,0,0,1,
ADA-FInfer: Inferring Face Representations From Adaptive Select Frames for High-Visual-Quality Deepfake Detection,10.1109/TDSC.2024.3523289,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10818493,C,,0,0,0,IEEE Xplore
ADD 2022: the first Audio Deep Synthesis Detection Challenge,,,B,IEEE Xplore,0,1,0,
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,,,B,IEEE Xplore,0,1,0,
AI Model for Deepfake Detection – A Hybrid Deep Learning and Statistical Approach for GANGenerated Visuals,,,B,IEEE Xplore,0,1,0,
AI Powered Multimodal Content Moderation for Online Safety in Social Media Platforms,10.1109/ICIRCA65293.2025.11089733,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11089733,C,,0,0,0,IEEE Xplore
AI-Based Image Forgery Detection (AI-IFD),,,B,IEEE Xplore,0,1,0,
AI-Manipulated Reality: Generation and Detection of Deepfake Content,10.1109/SACI66288.2025.11030130,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030130,C,,0,0,0,IEEE Xplore
AI-Powered Deepfake Detection in Biometric Systems,,,B,IEEE Xplore,0,1,0,
AI-Powered Real-Time Misinformation Detection a Deep Learning Framework for Combating Fake News and Deepfakes,10.1109/ICMCTC62214.2025.11196119,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11196119,C,,0,0,0,IEEE Xplore
AI/ML-Based Solution for Detecting Face-Swap Deepfakes,10.1109/ICETI4T63625.2025.11132146,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132146,C,,0,0,0,IEEE Xplore
AI/ML-Based Solution for Detecting Face-Swap Deepfakes,,,A,IEEE Xplore,0,1,0,
AIM-Bone: Texture Discrepancy Generation and Localization for Generalized Deepfake Detection,,,B,IEEE Xplore,0,1,0,
AV-Lip-Sync+: Leveraging AV-HuBERT to Exploit Multimodal Inconsistency for Deepfake Detection of Frontal Face Videos,,,A,IEEE Xplore,0,1,0,
AVSecure: An Audio-Visual Watermarking Framework for Proactive Deepfake Detection,,,A|B,IEEE Xplore,0,1,0,
AVT$^{2}$-DWF: Improving Deepfake Detection With Audio-Visual Fusion and Dynamic Weighting Strategies,10.1109/LSP.2024.3433596,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10609529,C,,0,0,0,IEEE Xplore
AVoiD-DF: Audio-Visual Joint Learning for Detecting Deepfake,,,A,IEEE Xplore,0,1,0,
AWaveFormer: Audio Wavelet Transformer Network for Generalized Audio Deepfake Detection,10.1109/TASLPRO.2025.3611229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11168216,C,,0,0,0,IEEE Xplore
Abbreviated View of Deepfake Videos Detection Techniques,,,A,"IEEE Xplore, Scopus",1,1,0,
AdvShadow: Evading DeepFake Detection via Adversarial Shadow Attack,,,B,IEEE Xplore,0,1,0,
Advanced Machine Learning techniques for fake news (online disinformation) detection: A systematic mapping study,,,B,ScienceDirect,0,0,1,
Advanced Temporal Analysis for Deepfake Detection using XceptionNet in Media Forensics,10.1109/ICCMC65190.2025.11140668,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11140668,C,,0,0,0,IEEE Xplore
Advancements in Deepfake Detection: A Comprehensive Review of AI-Driven Approaches,10.1109/ICMLAS64557.2025.10967658,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10967658,C,,0,0,0,IEEE Xplore
Advancements in Deepfake Detection: Leveraging Bi-LSTM-CNN Architecture for Robust Identification,10.1109/NILES63360.2024.10753235,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753235,C,,0,0,0,IEEE Xplore
Advances in DeepFake detection algorithms: Exploring fusion techniques in single and multi-modal approach,,,A|B,ScienceDirect,0,0,1,
Advancing Deepfake Detection: An Optimized Neural Network Model with Keyframe Analysis,10.1109/NCIM65934.2025.11160287,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11160287,C,,0,0,0,IEEE Xplore
Advancing Generalization in Deepfake Detection: Supervised Contrastive Representation Learning With Dual Stream Spatio-Temporal Features,10.1109/ACCESS.2025.3598782,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11124838,C,,0,0,0,IEEE Xplore
Adversarial Attacks on Deepfake Detectors: A Challenge in the Era of AI-Generated Media (AADD-2025),,,B,Scopus,1,0,0,
Aggregated Distinguishable Feature Learning for Generalized Deepfake Detection,10.1109/IJCNN64981.2025.11228889,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11228889,C,,0,0,0,IEEE Xplore
An Effective Approach for Deepfake Video Detection using Binarized Neural Network,10.1109/IATMSI64286.2025.10984516,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10984516,C,,0,0,0,IEEE Xplore
An Integrated Framework for Video-Based Deepfake Forensic Analysis,10.1109/ISDFS65363.2025.11012010,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012010,C,,0,0,0,IEEE Xplore
An Investigation into the Utilisation of CNN with LSTM for Video Deepfake Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208484692&partnerID=40&md5=3fe5e640b835c306a8b32900a43cb320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208484692&partnerID=40&md5=3fe5e640b835c306a8b32900a43cb320,C,,0,0,0,Scopus
Anomaly Detection and Localization for Speech Deepfakes via Feature Pyramid Matching,,,B,IEEE Xplore,0,1,0,
Any-Resolution AI-Generated Image Detection by Spectral Learning,,,B,IEEE Xplore,0,1,0,
Artifacts-Disentangled Adversarial Learning for Deepfake Detection,10.1109/TCSVT.2022.3217950,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931753,C,,0,0,0,IEEE Xplore
Attention Guided Multi-attribute Architecture For Deepfake Detection,,,B,IEEE Xplore,0,1,0,
Attention Guided Spatio-Temporal Artifacts Extraction for Deepfake Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118942938&partnerID=40&md5=7fb41a1abc4766eb0e8e92911f9f41c0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118942938&partnerID=40&md5=7fb41a1abc4766eb0e8e92911f9f41c0,C,,0,0,0,Scopus
Audio Deepfake Detection: End-to-End training with powerful pretrained ASR,10.1109/INMIC64792.2024.11004412,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11004412,C,,0,0,0,IEEE Xplore
Audio Deepfake Detection: End-to-End training with powerful pretrained ASR,,,B,IEEE Xplore,0,1,0,
Audio-Visual Temporal Forgery Detection Using Embedding-Level Fusion and Multi-Dimensional Contrastive Loss,,,A,IEEE Xplore,0,1,0,
Autonomous Detection and Evaluation of Deepfakes: A Comprehensive Study,,,A,IEEE Xplore,0,1,0,
BMNet: Enhancing Deepfake Detection Through BiLSTM and Multi-Head Self-Attention Mechanism,10.1109/ACCESS.2025.3533653,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10852294,C,,0,0,0,IEEE Xplore
BSM-DND: Bias and Sensitivity-Aware Multilingual Deepfake News Detection Using Bloom Filters and Recurrent Feature Elimination,10.1109/ACCESS.2025.3609831,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11169321,C,,0,0,0,IEEE Xplore
Benchmarking Audio Deepfake Detection Robustness in Real-World Communication Scenarios,,,B,IEEE Xplore,0,1,0,
Benchmarking Audio Deepfake Detection Robustness in Real-World Communication Scenarios,10.23919/EUSIPCO63237.2025.11226601,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11226601,C,,0,0,0,IEEE Xplore
Benchmarking Joint Face Spoofing and Forgery Detection With Visual and Physiological Cues,10.1109/TDSC.2024.3352049,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10387780,C,,0,0,0,IEEE Xplore
