Title,DOI,URL,QuerySets,Sources,From_Scopus,From_IEEE_Xplore,From_ScienceDirect,source
Deciphering Deception-LSTM Combats Deepfake Audios,10.1109/ICTACS62700.2024.10841007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10841007,C,,0,0,0,IEEE Xplore
Decoding Voice Authenticity: An Exploration of Deep Learning and Audio Feature Techniques,10.1109/IDCIOT64235.2025.10914906,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10914906,C,,0,0,0,IEEE Xplore
Decoding fake news fabrications and trends: A comprehensive survey,,,A|B,ScienceDirect,0,0,1,
DeePhyNet: Toward Detecting Phylogeny in Deepfakes,,,B,IEEE Xplore,0,1,0,
Deep Fake Detection for Preventing Audio and Video Frauds Using Advanced Deep Learning Techniques,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208283475&partnerID=40&md5=c6b295f59e6d76c28be156c4079d15cb,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208283475&partnerID=40&md5=c6b295f59e6d76c28be156c4079d15cb,C,,0,0,0,Scopus
Deep Fake Detection using Adversarial Ensemble Techniques,10.1109/ICISC62624.2024.00041,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677707,C,,0,0,0,IEEE Xplore
Deep Fake Detection with Hybrid Activation Function Enabled Adaptive Milvus Optimization-Based Deep Convolutional Neural Network,10.1109/ICMCSI64620.2025.10883193,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10883193,C,,0,0,0,IEEE Xplore
Deep Learning Based Deepfake Video Detection System,10.1109/ICDT63985.2025.10986738,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10986738,C,,0,0,0,IEEE Xplore
Deep fake Image Detection Based on Deep Learning Using a Hybrid CNN-LSTM with Machine Learning Architectures as Classifier,10.1109/HORA61326.2024.10550728,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550728,C,,0,0,0,IEEE Xplore
Deep learning for deepfakes creation and detection: A survey,,,A|B,ScienceDirect,0,0,1,
DeepFake Creation and Detection:A Survey,10.1109/ICIRCA51532.2021.9544522,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9544522,C,,0,0,0,IEEE Xplore
DeepFake Detection with Multi-View Fusion and Graph Convolutional Network,10.1109/TMM.2025.3618565,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11194129,C,,0,0,0,IEEE Xplore
DeepFake Face Detection using Machine Learning with LSTM,10.1109/ICCSP60870.2024.10544299,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10544299,C,,0,0,0,IEEE Xplore
DeepFake Image Detection Using Adaptive Discriminator Augmentation (ADA),10.1109/ICONNIC59854.2023.10467610,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10467610,C,,0,0,0,IEEE Xplore
DeepFake detection method based on multi-scale interactive dual-stream network,,,B,Scopus,1,0,0,
DeepFake video detection: Insights into model generalisation — A Systematic review,,,A|B,ScienceDirect,0,0,1,
DeepFakeGuard: Real-Time Deepfake Video Detection Leveraging Celeb-DF Dataset and CNN-LSTM Framework,10.1109/ICOECA66273.2025.00133,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113856,C,,0,0,0,IEEE Xplore
DeepFakeGuard: Real-Time Deepfake Video Detection Leveraging Celeb-DF Dataset and CNN-LSTM Framework,,,A,IEEE Xplore,0,1,0,
DeepGuard: A Hybrid CNN-LSTM Framework for Robust Deepfake Video Detection with Spatiotemporal Analysis,10.1109/ICSCDS65426.2025.11166809,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166809,C,,0,0,0,IEEE Xplore
DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,,,A,ScienceDirect,0,0,1,
DeepMark: A Platform Ensuring Content Integrity,,,A,IEEE Xplore,0,1,0,
DeepShield: AI-Powered Deepfake Detection,10.1109/CONIT65521.2025.11167853,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167853,C,,0,0,0,IEEE Xplore
DeepViT-Detect: A Deep Vision Transformer-Based Approach for Robust Deepfake Video Detection,10.1109/ICIMIA67127.2025.11200731,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11200731,C,,0,0,0,IEEE Xplore
Deepfaceguard: A Lightweight CNN Framework for Robust Face Manipulation Detection,10.1109/NMITCON65824.2025.11188219,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11188219,C,,0,0,0,IEEE Xplore
"Deepfake Audio Detection: a Multi Model, Multi Dataset Performance Study Using Deep Learning Architectures",,,B,IEEE Xplore,0,1,0,
"Deepfake Audio Detection: a Multi Model, Multi Dataset Performance Study Using Deep Learning Architectures",10.1109/ICICNCT66124.2025.11232782,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232782,C,,0,0,0,IEEE Xplore
Deepfake Circumvention Using Machine Learning,10.1109/ICPECTS62210.2024.10780152,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780152,C,,0,0,0,IEEE Xplore
Deepfake Content Detection using Deep Learning Techniques,10.1109/ICSSAS66150.2025.11081378,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081378,C,,0,0,0,IEEE Xplore
Deepfake Detection Based on LSTM Networks with Facial Geometric Features,,,B,IEEE Xplore,0,1,0,
Deepfake Detection Based on LSTM Networks with Facial Geometric Features,10.1109/EICCT65471.2025.11099876,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11099876,C,,0,0,0,IEEE Xplore
Deepfake Detection Based on Multi-scale RGB-Frequency Feature Fusion,,,B,"IEEE Xplore, Scopus",1,1,0,
Deepfake Detection Based on Visual Lip-sync Match and Blink Rate,,,A,Scopus,1,0,0,
Deepfake Detection Based on the Adaptive Fusion of Spatial-Frequency Features,,,B,Scopus,1,0,0,
Deepfake Detection Fighting Against Noisy Label Attack,,,B,IEEE Xplore,0,1,0,
Deepfake Detection From Face-swapped Videos Using Transfer Learning Approach,10.1109/ICCIT60459.2023.10441067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441067,C,,0,0,0,IEEE Xplore
Deepfake Detection Method Based on Spatio-Temporal Information Fusion,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003321518&partnerID=40&md5=73f1d21f2ea03ed858e54e5642096667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003321518&partnerID=40&md5=73f1d21f2ea03ed858e54e5642096667,C,,0,0,0,Scopus
Deepfake Detection Model Based on VGGFace with Head Pose Estimation Technique,,,A,Scopus,1,0,0,
Deepfake Detection Model Combining Texture Differences and Frequency Domain Information,,,B,Scopus,1,0,0,
Deepfake Detection Using AI And Machine Learning Algorithms,10.1109/IC2E365635.2025.11167331,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167331,C,,0,0,0,IEEE Xplore
Deepfake Detection Using Advanced Learning Frameworks and Benchmark Evaluation,10.1109/ICCCNP63914.2025.11233705,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11233705,C,,0,0,0,IEEE Xplore
Deepfake Detection Using Deep Learning,,,A,IEEE Xplore,0,1,0,
Deepfake Detection Using EfficientNet and XceptionNet,10.1109/ICICIS58388.2023.10391114,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10391114,C,,0,0,0,IEEE Xplore
Deepfake Detection Using Graph Representation with Multi-dimensional Features,10.1109/SWC57546.2023.10449093,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449093,C,,0,0,0,IEEE Xplore
Deepfake Detection Using Graph Representation with Multi-dimensional Features,,,B,IEEE Xplore,0,1,0,
Deepfake Detection Using Robust Spatial and Temporal Features from Facial Landmarks,,,A,"IEEE Xplore, Scopus",1,1,0,
Deepfake Detection Using Robust Spatial and Temporal Features from Facial Landmarks,10.1109/IWBF50991.2021.9465076,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9465076,C,,0,0,0,IEEE Xplore
Deepfake Detection Utilizing Enhanced Silicon-Based Physically Unclonable Functions Integrated with Photonic Crystal Fiber Sensor,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010591738&partnerID=40&md5=6d6839e3d34a1ddf89979ac92475145c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010591738&partnerID=40&md5=6d6839e3d34a1ddf89979ac92475145c,C,,0,0,0,Scopus
Deepfake Detection and Cybersecurity Index: The Role of Computer Vision as a Digital Forensic Tool,,,B,IEEE Xplore,0,1,0,
Deepfake Detection and Localization Using Multi-View Inconsistency Measurement,,,B,IEEE Xplore,0,1,0,
Deepfake Detection for Enhanced Security in Workplace Environments Using Deep Learning Techniques,10.1109/ICICT64582.2025.00033,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058521,C,,0,0,0,IEEE Xplore
Deepfake Detection in the Era of AI: State-Of-the-art Methods and Open Challenges,10.1109/ACROSET66531.2025.11281068,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11281068,C,,0,0,0,IEEE Xplore
Deepfake Detection on Videos Based on Ratio Images,10.1109/IIAIAAI55812.2022.00086,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9894567,C,,0,0,0,IEEE Xplore
Deepfake Detection using GAN Discriminators,10.1109/BigDataService52369.2021.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564096,C,,0,0,0,IEEE Xplore
Deepfake Detection using Multi-Stream Convolutional Neural Networks with Attention-based Fusion,,,B,IEEE Xplore,0,1,0,
Deepfake Detection using Multi-Stream Convolutional Neural Networks with Attention-based Fusion,10.1109/ICICNCT66124.2025.11232837,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232837,C,,0,0,0,IEEE Xplore
Deepfake Detection using XAI based Deep Fusion Models,,,B,IEEE Xplore,0,1,0,
Deepfake Detection using a Two-Stream Capsule Network,,,A|C,IEEE Xplore,0,1,0,IEEE Xplore
Deepfake Detection via Spatial-Frequency Attention Network,,,B,"IEEE Xplore, Scopus",1,1,0,
Deepfake Detection with Spatio-Temporal Consistency and Attention,10.1109/DICTA56598.2022.10034609,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034609,C,,0,0,0,IEEE Xplore
Deepfake Detection: A Multi-Algorithmic and Multi-Modal Approach for Robust Detection and Analysis,10.1109/RMKMATE59243.2023.10369155,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10369155,C,,0,0,0,IEEE Xplore
Deepfake Detection: A Systematic Literature Review,,,A,IEEE Xplore,0,1,0,
Deepfake Detection: Demodulate Synthetic Videos Using Deep Learning Models,10.23919/INDIACom66777.2025.11115707,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11115707,C,,0,0,0,IEEE Xplore
Deepfake Detection: Demodulate Synthetic Videos Using Deep Learning Models,,,A,IEEE Xplore,0,1,0,
Deepfake Facial Recognition for Video Clips,10.1109/PICET60765.2024.10716129,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10716129,C,,0,0,0,IEEE Xplore
Deepfake Forensics Leveraging MobileNetV2 for High Precision Detection,,,B,IEEE Xplore,0,1,0,
Deepfake Generation and Detection: Case Study and Challenges,10.1109/ACCESS.2023.3342107,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10354308,C,,0,0,0,IEEE Xplore
"Deepfake Generation, Detection and Datasets: a Rapid-review",10.1109/ISCTURKEY56345.2022.9931802,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931802,C,,0,0,0,IEEE Xplore
Deepfake Image Detection Using Yolov8,10.1109/PuneCon63413.2024.10895706,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10895706,C,,0,0,0,IEEE Xplore
Deepfake Image Detection using Deep Learning,10.1109/AIDE64228.2025.10987437,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10987437,C,,0,0,0,IEEE Xplore
Deepfake Image Forensics for Privacy Protection and Authenticity Using Deep Learning,,,A,Scopus,1,0,0,
Deepfake Video Authentication Based on Blockchain,,,B,IEEE Xplore,0,1,0,
Deepfake Video Detection Based on Improved CapsNet and Temporal–Spatial Features,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148000937&partnerID=40&md5=a969d8229bd49132b7ee0ac8e944c6fe,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148000937&partnerID=40&md5=a969d8229bd49132b7ee0ac8e944c6fe,C,,0,0,0,Scopus
"Deepfake Video Detection Based on Spatial, Spectral, and Temporal Inconsistencies Using Multimodal Deep Learning",10.1109/AIPR50011.2020.9425167,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425167,C,,0,0,0,IEEE Xplore
Deepfake Video Detection Methods using Deep Neural Networks,10.1109/ICICICT54557.2022.9917701,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917701,C,,0,0,0,IEEE Xplore
Deepfake Video Detection Model Based on Consistency of Spatial-Temporal Features; 基于时空特征一致性的Deepfake视频检测模型,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088657032&partnerID=40&md5=8c0156d45d7ed5a1882211b167b01b1d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088657032&partnerID=40&md5=8c0156d45d7ed5a1882211b167b01b1d,C,,0,0,0,Scopus
Deepfake Video Detection Using Ada-Boosting on the DFDC Dataset,,,A|B,ScienceDirect,0,0,1,
Deepfake Video Detection Using Spatiotemporal Convolutional Network and Photo Response Non Uniformity,10.1109/ICOSNIKOM56551.2022.10034890,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034890,C,,0,0,0,IEEE Xplore
Deepfake Video Detection Using the Frequency Characteristic of Remote Photoplethysmography,,,B,Scopus,1,0,0,
Deepfake Video Detection by Combining Convolutional Neural Network (CNN) and Recurrent Neural Network (RNN),,,A,IEEE Xplore,0,1,0,
Deepfake Video Detection by Combining Convolutional Neural Network (CNN) and Recurrent Neural Network (RNN),10.1109/CSAIEE54046.2021.9543264,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9543264,C,,0,0,0,IEEE Xplore
Deepfake Video Detection on Social Networks Using Multi-domain Aware Driven by Common Mechanism Analysis Between Artifacts; 伪影间共性机理驱动的多域感知社交网络深度伪造视频检测,,,B,Scopus,1,0,0,
Deepfake Video Detection: A Comprehensive Survey of Advanced Machine Learning and Deep Learning Techniques to Combat Synthetic Video Manipulation,10.1109/ICMSCI62561.2025.10894187,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10894187,C,,0,0,0,IEEE Xplore
Deepfake Video Detection: Analysis for Deep Learning models using Transfer Learning,10.1109/ACIT62805.2024.10877153,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10877153,C,,0,0,0,IEEE Xplore
Deepfake Video Prediction Using Attention-Based CNN and Mel-Frequency Cepstral Coefficients,10.1109/ICEEICT61591.2024.10718393,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718393,C,,0,0,0,IEEE Xplore
Deepfake Voice Detection: Countering Deepfake Audio with Deep Learning Architectures,10.1109/ICAIT68809.2025.11236771,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11236771,C,,0,0,0,IEEE Xplore
Deepfake Voice Detection: Countering Deepfake Audio with Deep Learning Architectures,,,B,IEEE Xplore,0,1,0,
Deepfake detection based on Spatio-Temporal Fusion,,,B,"IEEE Xplore, Scopus",1,1,0,
Deepfake detection based on Spatio-Temporal Fusion,10.1109/ICIMCT.2025.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11185707,C,,0,0,0,IEEE Xplore
Deepfake detection based on cross-domain local characteristic analysis with multi-domain transformer,,,B,Scopus,1,0,0,
Deepfake detection for preventing Audio and Video frauds using Advanced Deep Learning Techniques,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186082979&partnerID=40&md5=93523ccb77c3599820cd812e2ab56eef,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186082979&partnerID=40&md5=93523ccb77c3599820cd812e2ab56eef,C,,0,0,0,Scopus
Deepfake detection method based on multi-feature fusion of frequency domain and spatial domain; 基于频域和空域多特征融合的深度伪造检测方法,,,B,Scopus,1,0,0,
Deepfake detection using LSTM-based neural network,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148481985&partnerID=40&md5=2992c5a3f0f106f4df65684d37398231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148481985&partnerID=40&md5=2992c5a3f0f106f4df65684d37398231,C,,0,0,0,Scopus
"Deepfake video detection methods, approaches, and challenges",,,A|B,ScienceDirect,0,0,1,
Deepfakes Detection Methods: A Literature Survey,10.1109/ICIAfS52090.2021.9606067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9606067,C,,0,0,0,IEEE Xplore
Deepfakes Examiner: An End-to-End Deep Learning Model for Deepfakes Videos Detection,10.1109/ICOSST57195.2022.10016871,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10016871,C,,0,0,0,IEEE Xplore
Deepfakes as a threat to a speaker and facial recognition: An overview of tools and attack vectors,,,A,ScienceDirect,0,0,1,
"Deepfakes in digital media forensics: Generation, AI-based detection and challenges",,,A|B,ScienceDirect,0,0,1,
"Deepfakes: Deceptions, mitigations, and opportunities",,,A,ScienceDirect,0,0,1,
DefakeHop: A Light-Weight High-Performance Deepfake Detector,10.1109/ICME51207.2021.9428361,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9428361,C,,0,0,0,IEEE Xplore
Design and development of an efficient RLNet prediction model for deepfake video detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011341559&partnerID=40&md5=098e7a288d8988a7ccfaa681982a7a03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011341559&partnerID=40&md5=098e7a288d8988a7ccfaa681982a7a03,C,,0,0,0,Scopus
Detecting Cross-domain Deepfake Videos with Contrastive Prototype Learning,10.1109/IJCNN64981.2025.11227763,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11227763,C,,0,0,0,IEEE Xplore
Detecting Deepfake Videos using Face Recognition and Neural Networks,10.1109/ICC-ROBINS60238.2024.10534025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10534025,C,,0,0,0,IEEE Xplore
Detecting Deepfakes Through the Classification of Facial Active and Passive Features Using Machine Learning,,,A,Scopus,1,0,0,
Detecting Deepfakes and Artificial Intelligence-Generated Art,,,A|C,IEEE Xplore,0,1,0,Scopus
Detecting Deepfakes in Alternative Color Spaces to Withstand Unseen Corruptions,,,B,IEEE Xplore,0,1,0,
Detecting Deepfakes using Temporal Consistency of Facial Expression Transitions,10.1109/PST65910.2025.11268852,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268852,C,,0,0,0,IEEE Xplore
Detecting Digital Deception: A CNN-RNN hybrid Approach of Deepfake Detection,10.1109/ICPCT64145.2025.10940830,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10940830,C,,0,0,0,IEEE Xplore
Detecting Manipulated Audio Using Adaboost Machine Learning Algorithm,10.1109/InCACCT61598.2024.10550994,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550994,C,,0,0,0,IEEE Xplore
Detecting deepfake videos based on spatiotemporal attention and convolutional LSTM,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128119994&partnerID=40&md5=581010604140a13109c1122b7435cd0a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128119994&partnerID=40&md5=581010604140a13109c1122b7435cd0a,C,,0,0,0,Scopus
Detecting facial manipulated images via one-class domain generalization,,,B,Scopus,1,0,0,
Detection Of Deepfake Images,,,B,IEEE Xplore,0,1,0,
Detection of Compressed DeepFake Video Drawbacks and Technical Developments,10.1109/ICSPIS57063.2022.10002433,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002433,C,,0,0,0,IEEE Xplore
Detection of Deepfake Environmental Audio,10.23919/EUSIPCO63174.2024.10715076,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10715076,C,,0,0,0,IEEE Xplore
Detection of Deepfake Medical Images Based on Spatial and Frequency Domain Analysis,,,B,"IEEE Xplore, Scopus",1,1,0,
Detection of Deepfake Video using Deep Learning and MesoNet,10.1109/ICCES57224.2023.10192854,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10192854,C,,0,0,0,IEEE Xplore
Detection of Diffusion Model-Generated Faces by Assessing Smoothness and Noise Tolerance,,,B,IEEE Xplore,0,1,0,
Detection of Real and Manipulated Videos using the Transfer Learning Approach of Deep-Learning Models,10.1109/GCAT62922.2024.10924003,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10924003,C,,0,0,0,IEEE Xplore
Development of AI/ML-based solution for detection of face-swap based deepfake videos and AI-generated videos,10.1109/InC465408.2025.11256330,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11256330,C,,0,0,0,IEEE Xplore
DiffSeg: Towards Detecting Diffusion-Based Inpainting Attacks Using Multi-Feature Segmentation,,,B,IEEE Xplore,0,1,0,
Diffusion-Aware Deepfake Detection via Kernel PCA on Noise Residuals for Semantic Communication,,,B,IEEE Xplore,0,1,0,
Disruptive Attacks on Face Swapping via Low-Frequency Perceptual Perturbations,,,B,IEEE Xplore,0,1,0,
Dodging DeepFake Detection via Implicit Spatial-Domain Notch Filtering,,,B,"IEEE Xplore, Scopus",1,1,0,
Domain Generalization via Aggregation and Separation for Audio Deepfake Detection,,,B,IEEE Xplore,0,1,0,
Dual Acoustic Feature Fusion for Enhanced Audio Deepfake Detection Using VGG-16 Architecture: Mitigating Speech Tampering with MFCC and ELTP,10.1109/RIVF64335.2024.11009070,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11009070,C,,0,0,0,IEEE Xplore
Dual-Modality Co-Learning for Unveiling Deepfake in Spatio-Temporal Space,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163697185&partnerID=40&md5=8cebfc10382ee49c66e589eb2c74fafd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163697185&partnerID=40&md5=8cebfc10382ee49c66e589eb2c74fafd,C,,0,0,0,Scopus
Dual-stream temporal-spatial forgery detection via phase-consistent edge features and 3D visual state-space modeling,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015384367&partnerID=40&md5=2041ac6891834f5d8773a64c8ac9317d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015384367&partnerID=40&md5=2041ac6891834f5d8773a64c8ac9317d,C,,0,0,0,Scopus
Dynamic Lip Motion Analysis for Deepfake Detection,,,A,IEEE Xplore,0,1,0,
Dynamic Lip Motion Analysis for Deepfake Detection,10.1109/CSCS66924.2025.00073,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181647,C,,0,0,0,IEEE Xplore
Dynamic and Static Features Extraction for Deepfake Detection,10.1109/ICCE-Taiwan62264.2024.10674402,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10674402,C,,0,0,0,IEEE Xplore
EDL-Det: A Robust TTS Synthesis Detector Using VGG19-Based YAMNet and Ensemble Learning Block,,,B,IEEE Xplore,0,1,0,
EVDO: An Enhanced Framework for Deepfake Detection in Videos Through Optical Flow and Temporal-Spatial Analysis,10.1109/ACCESS.2025.3614455,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11179989,C,,0,0,0,IEEE Xplore
Eff-YNet: A Dual Task Network for DeepFake Detection and Segmentation,10.1109/IMCOM51814.2021.9377373,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377373,C,,0,0,0,IEEE Xplore
EfficientNetB0 Ensemble Model for Unified Deepfakes Detection,10.1109/ICOSST60641.2023.10414228,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10414228,C,,0,0,0,IEEE Xplore
Emergent Capability in Audio Deepfake Detection,10.1109/IWBF63717.2025.11113428,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113428,C,,0,0,0,IEEE Xplore
Emerging Innovations in Deep Learning for Video DeepFake Detection: A Comprehensive Review,10.1109/ICSADL65848.2025.10933018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933018,C,,0,0,0,IEEE Xplore
EmoSense: A multimodal sentiment-aware framework for music short video AI-generated content detection,,,B,ScienceDirect,0,0,1,
End-to-end Audio Deepfake Detection from RAW Waveforms: a RawNet-Based Approach with Cross-Dataset Evaluation,,,B,IEEE Xplore,0,1,0,
Engaging with deepfakes: a meta-synthesis from the perspective of social shaping of technology theory,,,A,ScienceDirect,0,0,1,
Enhanced Deepfake Detection Using Deep Learning on Large-Scale Video Data: A Fused ResNet50 and LSTM Approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010612239&partnerID=40&md5=08e8830074c17be1c96d0858d7b3d4ba,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010612239&partnerID=40&md5=08e8830074c17be1c96d0858d7b3d4ba,C,,0,0,0,Scopus
Enhanced Deepfake Detection with LSTM and ResNeXt Integration,10.1109/ICDT63985.2025.10986702,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10986702,C,,0,0,0,IEEE Xplore
Enhanced deepfake detection via dynamic data augmentation and spatiotemporal attention,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024347588&partnerID=40&md5=dfbab16a02c2f9e55ed2f36bf6dc384b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024347588&partnerID=40&md5=dfbab16a02c2f9e55ed2f36bf6dc384b,C,,0,0,0,Scopus
Enhancing Accuracy in Image Recognition for Deepfaked Images using Convolutional Networks Compared with LSTM Algorithm,10.1109/ICIDCA66325.2025.11280513,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280513,C,,0,0,0,IEEE Xplore
Enhancing Authenticity Verification with Transfer Learning and Ensemble Techniques in Facial Feature-Based Deepfake Detection,10.1109/ICPRS62101.2024.10677831,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677831,C,,0,0,0,IEEE Xplore
Enhancing Authenticity Verification with Transfer Learning and Ensemble Techniques in Facial Feature-Based Deepfake Detection,,,A,IEEE Xplore,0,1,0,
Enhancing DeepFake Detection through Deep Learning and Explainable AI,10.1109/AIMV66517.2025.11203343,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11203343,C,,0,0,0,IEEE Xplore
Enhancing Deepfake Detection Through Dynamics of Facial Expressions,10.1109/ICICV64824.2025.11085942,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11085942,C,,0,0,0,IEEE Xplore
Enhancing Deepfake Detection Through Dynamics of Facial Expressions,,,B,"IEEE Xplore, Scopus",1,1,0,
Enhancing Deepfake Detection Through Hybrid MobileNet-LSTM Model with Real-Time Image and Video Analysis,10.1109/ICUIS64676.2024.10867159,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10867159,C,,0,0,0,IEEE Xplore
Enhancing Deepfake Detection with a Hybrid CNN-BiLSTM Approach,10.1109/ISCMI63661.2024.10851512,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10851512,C,,0,0,0,IEEE Xplore
Enhancing Deepfake Video Detection: A Hybrid CNN-LSTM Approach,10.1109/TIACOMP64125.2024.00031,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10742777,C,,0,0,0,IEEE Xplore
Enhancing Resilience of Deepfake Detection using Adversarial Frequency Masking,,,B,Scopus,1,0,0,
Enhancing the Detection of Deepfake Audio Using Explainable AI Techniques for Secure and Trustworthy Applications,10.1109/ICAMIDA64673.2025.11209741,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11209741,C,,0,0,0,IEEE Xplore
Evading Deepfake Detectors via Adversarially Degrading and Restoring Forged Images,,,B,"IEEE Xplore, Scopus",1,1,0,
